"initial_alias","converted_alias","name","description","namespace"
"SPAG16","ENSG00000144451","SPAG16","sperm associated antigen 16 [Source:HGNC Symbol;Acc:HGNC:23225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA12","ENSG00000144452","ABCA12","ATP binding cassette subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:14637]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SUMF1","ENSG00000144455","SUMF1","sulfatase modifying factor 1 [Source:HGNC Symbol;Acc:HGNC:20376]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NYAP2","ENSG00000144460","NYAP2","neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2 [Source:HGNC Symbol;Acc:HGNC:29291]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RHBDD1","ENSG00000144468","RHBDD1","rhomboid domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23081]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACKR3","ENSG00000144476","ACKR3","atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRPM8","ENSG00000144481","TRPM8","transient receptor potential cation channel subfamily M member 8 [Source:HGNC Symbol;Acc:HGNC:17961]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HES6","ENSG00000144485","HES6","hes family bHLH transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:18254]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ESPNL","ENSG00000144488","ESPNL","espin like [Source:HGNC Symbol;Acc:HGNC:27937]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKMY1","ENSG00000144504","ANKMY1","ankyrin repeat and MYND domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20987]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COPS7B","ENSG00000144524","COPS7B","COP9 signalosome subunit 7B [Source:HGNC Symbol;Acc:HGNC:16760]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DIS3L2","ENSG00000144535","DIS3L2","DIS3 like 3'-5' exoribonuclease 2 [Source:HGNC Symbol;Acc:HGNC:28648]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPNE9","ENSG00000144550","CPNE9","copine family member 9 [Source:HGNC Symbol;Acc:HGNC:24336]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FANCD2","ENSG00000144554","FANCD2","FA complementation group D2 [Source:HGNC Symbol;Acc:HGNC:3585]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAMM41","ENSG00000144559","TAMM41","TAM41 mitochondrial translocator assembly and maintenance homolog [Source:HGNC Symbol;Acc:HGNC:25187]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VGLL4","ENSG00000144560","VGLL4","vestigial like family member 4 [Source:HGNC Symbol;Acc:HGNC:28966]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB5A","ENSG00000144566","RAB5A","RAB5A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9783]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RETREG2","ENSG00000144567","RETREG2","reticulophagy regulator family member 2 [Source:HGNC Symbol;Acc:HGNC:28450]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTDSP1","ENSG00000144579","CTDSP1","CTD small phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:21614]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CNOT9","ENSG00000144580","CNOT9","CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MARCHF4","ENSG00000144583","MARCHF4","membrane associated ring-CH-type finger 4 [Source:HGNC Symbol;Acc:HGNC:29269]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STK11IP","ENSG00000144589","STK11IP","serine/threonine kinase 11 interacting protein [Source:HGNC Symbol;Acc:HGNC:19184]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GMPPA","ENSG00000144591","GMPPA","GDP-mannose pyrophosphorylase A [Source:HGNC Symbol;Acc:HGNC:22923]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GRIP2","ENSG00000144596","GRIP2","glutamate receptor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23841]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EAF1","ENSG00000144597","EAF1","ELL associated factor 1 [Source:HGNC Symbol;Acc:HGNC:20907]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CNTN4","ENSG00000144619","CNTN4","contactin 4 [Source:HGNC Symbol;Acc:HGNC:2174]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DYNC1LI1","ENSG00000144635","DYNC1LI1","dynein cytoplasmic 1 light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:18745]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RBMS3","ENSG00000144642","RBMS3","RNA binding motif single stranded interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:13427]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GADL1","ENSG00000144644","GADL1","glutamate decarboxylase like 1 [Source:HGNC Symbol;Acc:HGNC:27949]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OSBPL10","ENSG00000144645","OSBPL10","oxysterol binding protein like 10 [Source:HGNC Symbol;Acc:HGNC:16395]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POMGNT2","ENSG00000144647","POMGNT2","protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-) [Source:HGNC Symbol;Acc:HGNC:25902]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACKR2","ENSG00000144648","ACKR2","atypical chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1565]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GASK1A","ENSG00000144649","GASK1A","golgi associated kinase 1A [Source:HGNC Symbol;Acc:HGNC:24485]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CSRNP1","ENSG00000144655","CSRNP1","cysteine and serine rich nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:14300]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC25A38","ENSG00000144659","SLC25A38","solute carrier family 25 member 38 [Source:HGNC Symbol;Acc:HGNC:26054]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITGA9","ENSG00000144668","ITGA9","integrin subunit alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC22A14","ENSG00000144671","SLC22A14","solute carrier family 22 member 14 [Source:HGNC Symbol;Acc:HGNC:8495]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GOLGA4","ENSG00000144674","GOLGA4","golgin A4 [Source:HGNC Symbol;Acc:HGNC:4427]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTDSPL","ENSG00000144677","CTDSPL","CTD small phosphatase like [Source:HGNC Symbol;Acc:HGNC:16890]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STAC","ENSG00000144681","STAC","SH3 and cysteine rich domain [Source:HGNC Symbol;Acc:HGNC:11353]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IQSEC1","ENSG00000144711","IQSEC1","IQ motif and Sec7 domain ArfGEF 1 [Source:HGNC Symbol;Acc:HGNC:29112]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CAND2","ENSG00000144712","CAND2","cullin associated and neddylation dissociated 2 (putative) [Source:HGNC Symbol;Acc:HGNC:30689]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CAND2","ENSG00000289809","None","novel protein","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPL32","ENSG00000144713","RPL32","ribosomal protein L32 [Source:HGNC Symbol;Acc:HGNC:10336]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTPRG","ENSG00000144724","PTPRG","protein tyrosine phosphatase receptor type G [Source:HGNC Symbol;Acc:HGNC:9671]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL17RD","ENSG00000144730","IL17RD","interleukin 17 receptor D [Source:HGNC Symbol;Acc:HGNC:17616]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SHQ1","ENSG00000144736","SHQ1","SHQ1, H/ACA ribonucleoprotein assembly factor [Source:HGNC Symbol;Acc:HGNC:25543]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC25A26","ENSG00000144741","SLC25A26","solute carrier family 25 member 26 [Source:HGNC Symbol;Acc:HGNC:20661]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBA3","ENSG00000144744","UBA3","ubiquitin like modifier activating enzyme 3 [Source:HGNC Symbol;Acc:HGNC:12470]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARL6IP5","ENSG00000144746","ARL6IP5","ADP ribosylation factor like GTPase 6 interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:16937]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMF1","ENSG00000144747","TMF1","TATA element modulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:11870]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LRIG1","ENSG00000144749","LRIG1","leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LRTM1","ENSG00000144771","LRTM1","leucine rich repeats and transmembrane domains 1 [Source:HGNC Symbol;Acc:HGNC:25023]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LIMD1","ENSG00000144791","LIMD1","LIM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:6612]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF660","ENSG00000144792","ZNF660","zinc finger protein 660 [Source:HGNC Symbol;Acc:HGNC:26720]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NFKBIZ","ENSG00000144802","NFKBIZ","NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COL8A1","ENSG00000144810","COL8A1","collagen type VIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2215]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NXPE3","ENSG00000144815","NXPE3","neurexophilin and PC-esterase domain family member 3 [Source:HGNC Symbol;Acc:HGNC:28238]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADGRG7","ENSG00000144820","ADGRG7","adhesion G protein-coupled receptor G7 [Source:HGNC Symbol;Acc:HGNC:19241]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYH15","ENSG00000144821","MYH15","myosin heavy chain 15 [Source:HGNC Symbol;Acc:HGNC:31073]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PHLDB2","ENSG00000144824","PHLDB2","pleckstrin homology like domain family B member 2 [Source:HGNC Symbol;Acc:HGNC:29573]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABHD10","ENSG00000144827","ABHD10","abhydrolase domain containing 10, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:25656]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAGLN3","ENSG00000144834","TAGLN3","transgelin 3 [Source:HGNC Symbol;Acc:HGNC:29868]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLA1A","ENSG00000144837","PLA1A","phospholipase A1 member A [Source:HGNC Symbol;Acc:HGNC:17661]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RABL3","ENSG00000144840","RABL3","RAB, member of RAS oncogene family like 3 [Source:HGNC Symbol;Acc:HGNC:18072]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADPRH","ENSG00000144843","ADPRH","ADP-ribosylarginine hydrolase [Source:HGNC Symbol;Acc:HGNC:269]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IGSF11","ENSG00000144847","IGSF11","immunoglobulin superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:16669]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATG3","ENSG00000144848","ATG3","autophagy related 3 [Source:HGNC Symbol;Acc:HGNC:20962]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NR1I2","ENSG00000144852","NR1I2","nuclear receptor subfamily 1 group I member 2 [Source:HGNC Symbol;Acc:HGNC:7968]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BOC","ENSG00000144857","BOC","BOC cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17173]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRPRB","ENSG00000144867","SRPRB","SRP receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:24085]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM108","ENSG00000144868","TMEM108","transmembrane protein 108 [Source:HGNC Symbol;Acc:HGNC:28451]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGTR1","ENSG00000144891","AGTR1","angiotensin II receptor type 1 [Source:HGNC Symbol;Acc:HGNC:336]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MED12L","ENSG00000144893","MED12L","mediator complex subunit 12L [Source:HGNC Symbol;Acc:HGNC:16050]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2A","ENSG00000144895","EIF2A","eukaryotic translation initiation factor 2A [Source:HGNC Symbol;Acc:HGNC:3254]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALDH1L1","ENSG00000144908","ALDH1L1","aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OSBPL11","ENSG00000144909","OSBPL11","oxysterol binding protein like 11 [Source:HGNC Symbol;Acc:HGNC:16397]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRPC1","ENSG00000144935","TRPC1","transient receptor potential cation channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:12333]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NCEH1","ENSG00000144959","NCEH1","neutral cholesterol ester hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:29260]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPATA16","ENSG00000144962","SPATA16","spermatogenesis associated 16 [Source:HGNC Symbol;Acc:HGNC:29935]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM86B2","ENSG00000145002","FAM86B2","family with sequence similarity 86 member B2 [Source:HGNC Symbol;Acc:HGNC:32222]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM86B2","ENSG00000186523","FAM86B1","family with sequence similarity 86 member B1 [Source:HGNC Symbol;Acc:HGNC:28268]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LPP","ENSG00000145012","LPP","LIM domain containing preferred translocation partner in lipoma [Source:HGNC Symbol;Acc:HGNC:6679]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM44","ENSG00000145014","TMEM44","transmembrane protein 44 [Source:HGNC Symbol;Acc:HGNC:25120]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RUBCN","ENSG00000145016","RUBCN","rubicon autophagy regulator [Source:HGNC Symbol;Acc:HGNC:28991]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMT","ENSG00000145020","AMT","aminomethyltransferase [Source:HGNC Symbol;Acc:HGNC:473]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TCTA","ENSG00000145022","TCTA","T cell leukemia translocation altered [Source:HGNC Symbol;Acc:HGNC:11692]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NICN1","ENSG00000145029","NICN1","nicolin 1, tubulin polyglutamylase complex subunit [Source:HGNC Symbol;Acc:HGNC:18317]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UCN2","ENSG00000145040","UCN2","urocortin 2 [Source:HGNC Symbol;Acc:HGNC:18414]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DCAF1","ENSG00000145041","DCAF1","DDB1 and CUL4 associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30911]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MANF","ENSG00000145050","MANF","mesencephalic astrocyte derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:15461]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STXBP5L","ENSG00000145087","STXBP5L","syntaxin binding protein 5L [Source:HGNC Symbol;Acc:HGNC:30757]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EAF2","ENSG00000145088","EAF2","ELL associated factor 2 [Source:HGNC Symbol;Acc:HGNC:23115]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ILDR1","ENSG00000145103","ILDR1","immunoglobulin like domain containing receptor 1 [Source:HGNC Symbol;Acc:HGNC:28741]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TM4SF19","ENSG00000145107","TM4SF19","transmembrane 4 L six family member 19 [Source:HGNC Symbol;Acc:HGNC:25167]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MUC4","ENSG00000145113","MUC4","mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLIT2","ENSG00000145147","SLIT2","slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B5","ENSG00000145191","EIF2B5","eukaryotic translation initiation factor 2B subunit epsilon [Source:HGNC Symbol;Acc:HGNC:3261]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AHSG","ENSG00000145192","AHSG","alpha 2-HS glycoprotein [Source:HGNC Symbol;Acc:HGNC:349]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ECE2","ENSG00000145194","ECE2","endothelin converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13275]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VWA5B2","ENSG00000145198","VWA5B2","von Willebrand factor A domain containing 5B2 [Source:HGNC Symbol;Acc:HGNC:25144]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DGKQ","ENSG00000145214","DGKQ","diacylglycerol kinase theta [Source:HGNC Symbol;Acc:HGNC:2856]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FIP1L1","ENSG00000145216","FIP1L1","factor interacting with PAPOLA and CPSF1 [Source:HGNC Symbol;Acc:HGNC:19124]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC26A1","ENSG00000145217","SLC26A1","solute carrier family 26 member 1 [Source:HGNC Symbol;Acc:HGNC:10993]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LYAR","ENSG00000145220","LYAR","Ly1 antibody reactive [Source:HGNC Symbol;Acc:HGNC:26021]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CENPC","ENSG00000145241","CENPC","centromere protein C [Source:HGNC Symbol;Acc:HGNC:1854]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPHA5","ENSG00000145242","EPHA5","EPH receptor A5 [Source:HGNC Symbol;Acc:HGNC:3389]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CORIN","ENSG00000145244","CORIN","corin, serine peptidase [Source:HGNC Symbol;Acc:HGNC:19012]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP10D","ENSG00000145246","ATP10D","ATPase phospholipid transporting 10D (putative) [Source:HGNC Symbol;Acc:HGNC:13549]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OCIAD2","ENSG00000145247","OCIAD2","OCIA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28685]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC10A4","ENSG00000145248","SLC10A4","solute carrier family 10 member 4 [Source:HGNC Symbol;Acc:HGNC:22980]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC10A6","ENSG00000145283","SLC10A6","solute carrier family 10 member 6 [Source:HGNC Symbol;Acc:HGNC:30603]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCD5","ENSG00000145284","SCD5","stearoyl-CoA desaturase 5 [Source:HGNC Symbol;Acc:HGNC:21088]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLAC8","ENSG00000145287","PLAC8","placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ENOPH1","ENSG00000145293","ENOPH1","enolase-phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:24599]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CABS1","ENSG00000145309","CABS1","calcium binding protein, spermatid associated 1 [Source:HGNC Symbol;Acc:HGNC:30710]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GC","ENSG00000145321","GC","GC vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRMT10A","ENSG00000145331","TRMT10A","tRNA methyltransferase 10A [Source:HGNC Symbol;Acc:HGNC:28403]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KLHL8","ENSG00000145332","KLHL8","kelch like family member 8 [Source:HGNC Symbol;Acc:HGNC:18644]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNCA","ENSG00000145335","SNCA","synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TBCK","ENSG00000145348","TBCK","TBC1 domain containing kinase [Source:HGNC Symbol;Acc:HGNC:28261]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CAMK2D","ENSG00000145349","CAMK2D","calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CISD2","ENSG00000145354","CISD2","CDGSH iron sulfur domain 2 [Source:HGNC Symbol;Acc:HGNC:24212]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DDIT4L","ENSG00000145358","DDIT4L","DNA damage inducible transcript 4 like [Source:HGNC Symbol;Acc:HGNC:30555]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANK2","ENSG00000145362","ANK2","ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TIFA","ENSG00000145365","TIFA","TRAF interacting protein with forkhead associated domain [Source:HGNC Symbol;Acc:HGNC:19075]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPATA5","ENSG00000145375","SPATA5","spermatogenesis associated 5 [Source:HGNC Symbol;Acc:HGNC:18119]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FABP2","ENSG00000145384","FABP2","fatty acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3556]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"CCNA2","ENSG00000145386","CCNA2","cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"METTL14","ENSG00000145388","METTL14","methyltransferase 14, N6-adenosine-methyltransferase subunit [Source:HGNC Symbol;Acc:HGNC:29330]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP53","ENSG00000145390","USP53","ubiquitin specific peptidase 53 [Source:HGNC Symbol;Acc:HGNC:29255]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SETD7","ENSG00000145391","SETD7","SET domain containing 7, histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:30412]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NAF1","ENSG00000145414","NAF1","nuclear assembly factor 1 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:25126]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MARCHF1","ENSG00000145416","MARCHF1","membrane associated ring-CH-type finger 1 [Source:HGNC Symbol;Acc:HGNC:26077]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SFRP2","ENSG00000145423","SFRP2","secreted frizzled related protein 2 [Source:HGNC Symbol;Acc:HGNC:10777]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPS3A","ENSG00000145425","RPS3A","ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
